19,5,9,92,47,26,106,11,0,4,64,15,7,50,8,0,0,0,0,1,6,0,0,2,5,1
16,6,7,96,45,26,107,11,0,3,63,14,7,51,8,0,0,0,0,1,5,0,0,2,5,1
16,5,10,93,47,28,106,11,0,3,63,14,7,50,8,0,0,0,0,1,5,0,0,2,4,1
16,5,8,93,44,27,108,10,0,4,65,14,7,51,9,0,0,0,0,1,5,0,0,2,4,1
15,5,7,95,46,26,109,12,0,4,63,14,7,50,8,0,0,0,0,1,6,0,0,2,5,1
17,6,8,94,42,26,106,11,0,4,66,13,7,49,8,0,0,0,0,1,7,0,0,3,4,1
17,6,7,89,45,24,104,10,0,5,66,12,10,52,9,0,0,0,0,1,5,0,0,2,4,1
18,5,8,93,46,26,104,11,0,4,64,14,7,50,8,0,0,0,0,1,6,0,0,2,5,1
19,7,11,93,42,27,106,11,0,3,64,14,7,50,8,0,0,0,0,1,5,0,0,2,4,1
15,5,8,96,44,26,104,10,0,3,65,14,7,50,9,0,0,0,0,1,5,0,0,2,5,1
18,5,9,94,46,27,103,11,0,3,67,14,7,51,8,0,0,0,0,1,5,0,0,2,4,1
17,5,7,91,43,28,111,12,0,6,64,12,11,50,8,0,0,0,0,1,5,0,0,2,4,1
16,6,6,93,46,28,111,11,0,3,63,13,7,51,8,0,0,0,0,1,5,0,0,2,4,1
16,5,7,95,45,26,106,11,0,4,64,14,7,52,8,0,0,0,0,1,5,0,0,2,4,1
17,5,7,95,43,26,105,12,0,4,67,15,9,57,8,0,0,1,0,1,6,0,0,2,3,1
18,7,8,95,45,27,105,10,0,4,64,14,7,49,9,0,0,0,0,1,6,0,0,2,5,1
14,6,7,81,48,25,103,10,11,11,70,13,8,50,8,0,0,4,0,1,11,0,1,2,3,1
14,5,6,90,48,26,112,11,2,4,65,12,9,54,7,0,0,0,0,1,5,1,0,2,3,1
17,5,8,92,46,27,107,11,0,3,64,13,7,52,8,0,0,0,0,1,6,0,0,2,3,1
17,6,7,91,47,26,110,11,0,3,62,14,7,51,8,1,0,0,0,1,5,0,0,2,5,1
18,7,8,94,46,26,104,11,0,3,64,12,8,53,8,0,0,0,0,1,6,1,0,2,4,1
17,5,9,92,46,27,106,10,2,3,63,14,7,50,9,0,0,0,0,1,5,0,0,2,4,1
15,5,7,94,44,26,102,10,1,4,64,14,7,52,9,0,0,0,0,1,5,0,0,3,5,1
16,5,7,94,49,26,104,12,1,6,68,13,7,53,8,0,0,0,0,1,6,0,0,2,4,1
17,5,7,92,44,26,103,10,0,3,69,15,11,57,10,0,0,2,0,1,5,0,0,3,4,1
14,6,9,98,47,27,107,11,0,4,65,13,7,50,8,0,0,0,0,1,6,0,0,2,3,1
15,6,7,91,44,26,105,10,2,6,65,14,8,48,10,0,0,1,0,1,8,0,0,2,3,1
18,6,7,94,46,26,104,9,0,4,68,15,7,52,8,0,0,0,0,1,5,0,0,2,3,1
